sleep_crossload_scale,sleep_corr_jitter,seed,sleep_anchor,in_ISI3m
0.0,-0.1,0,ISI4,0
0.0,-0.1,1,ISI7,1
0.0,-0.1,2,ISI2,1
0.0,0.0,0,ISI5,1
0.0,0.0,1,ISI2,1
0.0,0.0,2,ISI2,1
0.0,0.1,0,ISI2,1
0.0,0.1,1,ISI2,1
0.0,0.1,2,ISI2,1
0.5,-0.1,0,ISI4,0
0.5,-0.1,1,ISI5,1
0.5,-0.1,2,ISI2,1
0.5,0.0,0,ISI4,0
0.5,0.0,1,ISI2,1
0.5,0.0,2,ISI2,1
0.5,0.1,0,ISI2,1
0.5,0.1,1,ISI2,1
0.5,0.1,2,ISI2,1
1.0,-0.1,0,ISI5,1
1.0,-0.1,1,ISI2,1
1.0,-0.1,2,ISI2,1
1.0,0.0,0,ISI4,0
1.0,0.0,1,ISI2,1
1.0,0.0,2,ISI2,1
1.0,0.1,0,ISI2,1
1.0,0.1,1,ISI2,1
1.0,0.1,2,ISI2,1
1.5,-0.1,0,ISI5,1
1.5,-0.1,1,ISI2,1
1.5,-0.1,2,ISI2,1
1.5,0.0,0,ISI5,1
1.5,0.0,1,ISI2,1
1.5,0.0,2,ISI2,1
1.5,0.1,0,ISI2,1
1.5,0.1,1,ISI2,1
1.5,0.1,2,ISI2,1
